gender,race,Demographic Priming,Role Adoption,alignment,model,task
F,White,Structured,Direct,0.2071903427102347,OLMo-2-0325-32B-Instruct,QA
F,White,Structured,Third Person,0.2039314802506934,OLMo-2-0325-32B-Instruct,QA
F,White,Structured,Interview,0.1921568275801903,OLMo-2-0325-32B-Instruct,QA
F,White,Explicit,Direct,0.2086781110104888,OLMo-2-0325-32B-Instruct,QA
F,White,Explicit,Third Person,0.2042753113841569,OLMo-2-0325-32B-Instruct,QA
F,White,Explicit,Interview,0.19813508310034347,OLMo-2-0325-32B-Instruct,QA
F,White,Name,Direct,0.19734819303935328,OLMo-2-0325-32B-Instruct,QA
F,White,Name,Third Person,0.18752995815136764,OLMo-2-0325-32B-Instruct,QA
F,White,Name,Interview,0.1978253214313368,OLMo-2-0325-32B-Instruct,QA
F,Asian,Structured,Direct,0.18827925494745867,OLMo-2-0325-32B-Instruct,QA
F,Asian,Structured,Third Person,0.1945329105143105,OLMo-2-0325-32B-Instruct,QA
F,Asian,Structured,Interview,0.17520545974594093,OLMo-2-0325-32B-Instruct,QA
F,Asian,Explicit,Direct,0.18860558832656538,OLMo-2-0325-32B-Instruct,QA
F,Asian,Explicit,Third Person,0.19644074670606604,OLMo-2-0325-32B-Instruct,QA
F,Asian,Explicit,Interview,0.18060670225531922,OLMo-2-0325-32B-Instruct,QA
F,Asian,Name,Direct,0.17758211949990443,OLMo-2-0325-32B-Instruct,QA
F,Asian,Name,Third Person,0.18195172429869502,OLMo-2-0325-32B-Instruct,QA
F,Asian,Name,Interview,0.17794158744549654,OLMo-2-0325-32B-Instruct,QA
F,Hispanic,Structured,Direct,0.17922960658370055,OLMo-2-0325-32B-Instruct,QA
F,Hispanic,Structured,Third Person,0.18502460185938296,OLMo-2-0325-32B-Instruct,QA
F,Hispanic,Structured,Interview,0.16196080859074932,OLMo-2-0325-32B-Instruct,QA
F,Hispanic,Explicit,Direct,0.17586371142510168,OLMo-2-0325-32B-Instruct,QA
F,Hispanic,Explicit,Third Person,0.18451504961726906,OLMo-2-0325-32B-Instruct,QA
F,Hispanic,Explicit,Interview,0.1671859869632618,OLMo-2-0325-32B-Instruct,QA
