race,gender,persona_string,persona_type,model,group,marked_words,classifier_words,amount_marked_words,amount_classifier_words
White,F,2nd,name,Llama-3.1-8B-Instruct,WhiteF,"['teacher', 'bookworm', 'book']","['bookish', 'joys', 'reviewer', 'moment', 'lifelong', 'amateur', 'collector', 'pinch', 'lifestyle', 'dog']",3,10
Black,F,2nd,name,Llama-3.1-8B-Instruct,BlackF,[],"['kitchen', 'french', 'corners', 'selfproclaimed', 'town', 'creative', 'selfimprovement', 'treasures', 'passion', 'culinary']",0,10
Asian,F,2nd,name,Llama-3.1-8B-Instruct,AsianF,['foodie'],"['mindfulness', 'interviews', 'foods', 'small', 'you', 'daydreamer', 'wonders', 'places', 'optimist', 'tea']",1,10
Middle-Eastern,F,2nd,name,Llama-3.1-8B-Instruct,Middle-EasternF,[],"['opinions', 'passionate', 'researcher', 'hidden', 'english', 'science', 'mysteries', 'wit', 'whimsy', 'inspire']",0,10
Hispanic,F,2nd,name,Llama-3.1-8B-Instruct,HispanicF,"['teacher', 'bookworm', 'love', 'night', 'day', 'spreading']","['teacher', 'journey', 'challenges', 'educator', 'pinch', 'citizen', 'interviews', 'side', 'social', 'intersection']",6,10
White,M,2nd,name,Llama-3.1-8B-Instruct,WhiteM,"['retired', 'professor']","['outdoor', 'up', 'reading', 'retired', 'wandering', 'trade', 'professor', 'little', 'road', 'simple']",2,10
Black,M,2nd,name,Llama-3.1-8B-Instruct,BlackM,[],"['savoring', 'inventor', 'french', 'storytelling', 'ghanaian', 'grand', 'globetrotter', 'collecting', 'idea', 'heart']",0,10
Asian,M,2nd,name,Llama-3.1-8B-Instruct,AsianM,"['vietnamese', 'food']","['curry', 'vietnamese', 'philosophy', 'food', 'eating', 'citizen', 'thread', 'pondering', 'east', 'nature']",2,10
Middle-Eastern,M,2nd,name,Llama-3.1-8B-Instruct,Middle-EasternM,[],"['vulture', 'storyweaver', 'passionate', 'curiosities', 'its', 'through', 'hidden', 'student', 'delicious', 'complexities']",0,10
Hispanic,M,2nd,name,Llama-3.1-8B-Instruct,HispanicM,['foodie'],"['not', 'adventurous', 'nomad', 'taco', 'occasional', 'tell', 'fact', 'selfproclaimed', 'coffeefueled', 'me']",1,10
White,N,2nd,name,Llama-3.1-8B-Instruct,WhiteN,"['astronomer', 'wordsmith']","['library', 'acceptance', 'chronicling', 'peculiarities', 'currently', 'writing', 'curiosities', 'empathy', 'cats', 'present']",2,10
Black,N,2nd,name,Llama-3.1-8B-Instruct,BlackN,"['existential', 'wordsmith']","['me', 'realms', 'forgotten', 'is', 'navigating', 'small', 'botanist', 'ponderer', 'threads', 'stardust']",2,10
Asian,N,2nd,name,Llama-3.1-8B-Instruct,AsianN,[],"['recipe', 'sowing', 'that', 'code', 'devourer', 'writing', 'mundane', 'devouring', 'imagination', 'tea']",0,10
Middle-Eastern,N,2nd,name,Llama-3.1-8B-Instruct,Middle-EasternN,"['wordsmith', 'astrophysicist', 'human', 'cosmos']","['archivist', 'turkish', 'internet', 'crafting', 'ai', 'languages', 'cooking', 'secrets', 'stargazing', 'city']",4,10
Hispanic,N,2nd,name,Llama-3.1-8B-Instruct,HispanicN,"['artist', 'identity', 'advocate', 'queer', 'latinx', 'justice', 'social', 'writer']","['librarian', 'whims', 'are', 'astrology', 'spilling', 'content', 'poetry', 'library', 'sarcastic', 'activist']",8,10
White,F,2nd,dem_descr,Llama-3.1-8B-Instruct,WhiteF,"['sunkissed', 'southern', 'girl', 'belle', 'lover', 'sweet', 'california', 'bookworm', 'mom', 'books', 'dog']","['sunkissed', 'california', 'sunset', 'coastal', 'midwest', 'coffeefueled', 'sweet', 'south', 'socal', 'friend']",11,10
Black,F,2nd,dem_descr,Llama-3.1-8B-Instruct,BlackF,"['slaying', 'melanin', 'moment', 'game', 'sankofa', 'afrofuturist', 'excellence', 'educator', 'unapologetic', 'curating', 'thread', 'melanated', 'afrocentric']","['slaying', 'curating', 'sankofa', 'liberation', 'empowered', 'queen', 'rooted', 'storyteller', 'word', 'color']",13,10
Asian,F,2nd,dem_descr,Llama-3.1-8B-Instruct,AsianF,"['foodie', 'dumpling', 'matcha', 'yogi', 'sushi', 'sushiloving', 'jasmine']","['matcha', 'sushiloving', 'kawaii', 'sushi', 'page', 'technology', 'kpop', 'koreanmalaysian', 'fusion', 'devouring']",7,10
Middle-Eastern,F,2nd,dem_descr,Llama-3.1-8B-Instruct,Middle-EasternF,"['savoring', 'cardamom', 'cup', 'spices', 'middle', 'storyteller', 'mother', 'east', 'traditions', 'tales', 'beauty', 'sweetness', 'ancient', 'golden']","['sweetness', 'sahar', 'morsels', 'henna', 'scents', 'dancing', 'cardamom', 'blooms', 'homeland', 'dancer']",14,10
