race,gender,persona_string,persona_type,model,demographic(s),accuracy
White,F,2nd,name,Llama-3.1-8B-Instruct,WhiteF,0.9698492462311558
Black,F,2nd,name,Llama-3.1-8B-Instruct,BlackF,0.9380234505862647
Asian,F,2nd,name,Llama-3.1-8B-Instruct,AsianF,0.9698492462311558
Middle-Eastern,F,2nd,name,Llama-3.1-8B-Instruct,Middle-EasternF,0.9547738693467337
Hispanic,F,2nd,name,Llama-3.1-8B-Instruct,HispanicF,0.9698492462311558
White,M,2nd,name,Llama-3.1-8B-Instruct,WhiteM,0.949748743718593
Black,M,2nd,name,Llama-3.1-8B-Instruct,BlackM,0.9463986599664992
Asian,M,2nd,name,Llama-3.1-8B-Instruct,AsianM,0.9731993299832495
Middle-Eastern,M,2nd,name,Llama-3.1-8B-Instruct,Middle-EasternM,0.9363484087102177
Hispanic,M,2nd,name,Llama-3.1-8B-Instruct,HispanicM,0.9748743718592965
White,N,2nd,name,Llama-3.1-8B-Instruct,WhiteN,0.9195979899497487
Black,N,2nd,name,Llama-3.1-8B-Instruct,BlackN,0.932998324958124
Asian,N,2nd,name,Llama-3.1-8B-Instruct,AsianN,0.9246231155778895
Middle-Eastern,N,2nd,name,Llama-3.1-8B-Instruct,Middle-EasternN,0.9195979899497487
Hispanic,N,2nd,name,Llama-3.1-8B-Instruct,HispanicN,0.9564489112227805
White,F,2nd,dem_descr,Llama-3.1-8B-Instruct,WhiteF,0.9930915371329879
Black,F,2nd,dem_descr,Llama-3.1-8B-Instruct,BlackF,0.9810017271157168
Asian,F,2nd,dem_descr,Llama-3.1-8B-Instruct,AsianF,0.9965457685664939
Middle-Eastern,F,2nd,dem_descr,Llama-3.1-8B-Instruct,Middle-EasternF,0.9948186528497409
Hispanic,F,2nd,dem_descr,Llama-3.1-8B-Instruct,HispanicF,0.9896373056994818
White,M,2nd,dem_descr,Llama-3.1-8B-Instruct,WhiteM,0.9792746113989638
Black,M,2nd,dem_descr,Llama-3.1-8B-Instruct,BlackM,0.9879101899827288
Asian,M,2nd,dem_descr,Llama-3.1-8B-Instruct,AsianM,0.9879101899827288
Middle-Eastern,M,2nd,dem_descr,Llama-3.1-8B-Instruct,Middle-EasternM,0.9930915371329879
Hispanic,M,2nd,dem_descr,Llama-3.1-8B-Instruct,HispanicM,0.9930915371329879
White,N,2nd,dem_descr,Llama-3.1-8B-Instruct,WhiteN,0.9913644214162349
Black,N,2nd,dem_descr,Llama-3.1-8B-Instruct,BlackN,0.9913644214162349
Asian,N,2nd,dem_descr,Llama-3.1-8B-Instruct,AsianN,0.9827288428324698
Middle-Eastern,N,2nd,dem_descr,Llama-3.1-8B-Instruct,Middle-EasternN,0.9861830742659758
Hispanic,N,2nd,dem_descr,Llama-3.1-8B-Instruct,HispanicN,0.9930915371329879
White,F,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,WhiteF,0.9716666666666667
Black,F,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,BlackF,0.9766666666666667
Asian,F,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,AsianF,0.9866666666666667
Middle-Eastern,F,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,Middle-EasternF,0.9866666666666667
Hispanic,F,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,HispanicF,0.9666666666666667
White,M,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,WhiteM,0.98
Black,M,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,BlackM,0.9766666666666667
Asian,M,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,AsianM,0.9916666666666667
Middle-Eastern,M,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,Middle-EasternM,0.9816666666666667
Hispanic,M,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,HispanicM,0.97
White,N,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,WhiteN,0.995
Black,N,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,BlackN,0.9933333333333333
Asian,N,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,AsianN,0.975
Middle-Eastern,N,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,Middle-EasternN,0.9833333333333333
Hispanic,N,2nd,dem_cat+descr,Llama-3.1-8B-Instruct,HispanicN,0.99
White,F,3rd,name,Llama-3.1-8B-Instruct,WhiteF,0.9416666666666667
Black,F,3rd,name,Llama-3.1-8B-Instruct,BlackF,0.9266666666666666
Asian,F,3rd,name,Llama-3.1-8B-Instruct,AsianF,0.9483333333333334
Middle-Eastern,F,3rd,name,Llama-3.1-8B-Instruct,Middle-EasternF,0.935
Hispanic,F,3rd,name,Llama-3.1-8B-Instruct,HispanicF,0.97
White,M,3rd,name,Llama-3.1-8B-Instruct,WhiteM,0.965
Black,M,3rd,name,Llama-3.1-8B-Instruct,BlackM,0.935
Asian,M,3rd,name,Llama-3.1-8B-Instruct,AsianM,0.955
Middle-Eastern,M,3rd,name,Llama-3.1-8B-Instruct,Middle-EasternM,0.9366666666666666
Hispanic,M,3rd,name,Llama-3.1-8B-Instruct,HispanicM,0.9616666666666667
White,N,3rd,name,Llama-3.1-8B-Instruct,WhiteN,0.9416666666666667
Black,N,3rd,name,Llama-3.1-8B-Instruct,BlackN,0.92
Asian,N,3rd,name,Llama-3.1-8B-Instruct,AsianN,0.9066666666666666
Middle-Eastern,N,3rd,name,Llama-3.1-8B-Instruct,Middle-EasternN,0.9133333333333333
Hispanic,N,3rd,name,Llama-3.1-8B-Instruct,HispanicN,0.9533333333333334
White,F,3rd,dem_descr,Llama-3.1-8B-Instruct,WhiteF,0.9816666666666667
Black,F,3rd,dem_descr,Llama-3.1-8B-Instruct,BlackF,0.985
Asian,F,3rd,dem_descr,Llama-3.1-8B-Instruct,AsianF,0.9933333333333333
Middle-Eastern,F,3rd,dem_descr,Llama-3.1-8B-Instruct,Middle-EasternF,0.995
Hispanic,F,3rd,dem_descr,Llama-3.1-8B-Instruct,HispanicF,0.9866666666666667
White,M,3rd,dem_descr,Llama-3.1-8B-Instruct,WhiteM,0.98
Black,M,3rd,dem_descr,Llama-3.1-8B-Instruct,BlackM,0.9783333333333334
Asian,M,3rd,dem_descr,Llama-3.1-8B-Instruct,AsianM,0.985
Middle-Eastern,M,3rd,dem_descr,Llama-3.1-8B-Instruct,Middle-EasternM,0.9966666666666667
Hispanic,M,3rd,dem_descr,Llama-3.1-8B-Instruct,HispanicM,0.9916666666666667
White,N,3rd,dem_descr,Llama-3.1-8B-Instruct,WhiteN,0.9933333333333333
Black,N,3rd,dem_descr,Llama-3.1-8B-Instruct,BlackN,0.9883333333333333
Asian,N,3rd,dem_descr,Llama-3.1-8B-Instruct,AsianN,0.9716666666666667
Middle-Eastern,N,3rd,dem_descr,Llama-3.1-8B-Instruct,Middle-EasternN,0.9916666666666667
Hispanic,N,3rd,dem_descr,Llama-3.1-8B-Instruct,HispanicN,0.995
White,F,3rd,dem_cat+descr,Llama-3.1-8B-Instruct,WhiteF,0.9716666666666667
