gender,race,Demographic Priming,Role Adoption,alignment,model,task
F,White,Structured,Direct,0.72,OLMo-2-0325-32B-Instruct,QA
F,White,Structured,Third Person,0.64,OLMo-2-0325-32B-Instruct,QA
F,White,Structured,Interview,0.66,OLMo-2-0325-32B-Instruct,QA
F,White,Explicit,Direct,0.73,OLMo-2-0325-32B-Instruct,QA
F,White,Explicit,Third Person,0.66,OLMo-2-0325-32B-Instruct,QA
F,White,Explicit,Interview,0.7,OLMo-2-0325-32B-Instruct,QA
F,White,Name,Direct,0.71,OLMo-2-0325-32B-Instruct,QA
F,White,Name,Third Person,0.66,OLMo-2-0325-32B-Instruct,QA
F,White,Name,Interview,0.68,OLMo-2-0325-32B-Instruct,QA
F,Asian,Structured,Direct,0.59,OLMo-2-0325-32B-Instruct,QA
F,Asian,Structured,Third Person,0.56,OLMo-2-0325-32B-Instruct,QA
F,Asian,Structured,Interview,0.54,OLMo-2-0325-32B-Instruct,QA
F,Asian,Explicit,Direct,0.61,OLMo-2-0325-32B-Instruct,QA
F,Asian,Explicit,Third Person,0.56,OLMo-2-0325-32B-Instruct,QA
F,Asian,Explicit,Interview,0.57,OLMo-2-0325-32B-Instruct,QA
F,Asian,Name,Direct,0.59,OLMo-2-0325-32B-Instruct,QA
F,Asian,Name,Third Person,0.62,OLMo-2-0325-32B-Instruct,QA
F,Asian,Name,Interview,0.51,OLMo-2-0325-32B-Instruct,QA
F,Hispanic,Structured,Direct,0.52,OLMo-2-0325-32B-Instruct,QA
F,Hispanic,Structured,Third Person,0.51,OLMo-2-0325-32B-Instruct,QA
F,Hispanic,Structured,Interview,0.48,OLMo-2-0325-32B-Instruct,QA
F,Hispanic,Explicit,Direct,0.51,OLMo-2-0325-32B-Instruct,QA
F,Hispanic,Explicit,Third Person,0.5,OLMo-2-0325-32B-Instruct,QA
F,Hispanic,Explicit,Interview,0.48,OLMo-2-0325-32B-Instruct,QA
F,Hispanic,Name,Direct,0.5,OLMo-2-0325-32B-Instruct,QA
F,Hispanic,Name,Third Person,0.52,OLMo-2-0325-32B-Instruct,QA
F,Hispanic,Name,Interview,0.49,OLMo-2-0325-32B-Instruct,QA
F,Black,Structured,Direct,0.53,OLMo-2-0325-32B-Instruct,QA
F,Black,Structured,Third Person,0.54,OLMo-2-0325-32B-Instruct,QA
F,Black,Structured,Interview,0.56,OLMo-2-0325-32B-Instruct,QA
F,Black,Explicit,Direct,0.51,OLMo-2-0325-32B-Instruct,QA
F,Black,Explicit,Third Person,0.5,OLMo-2-0325-32B-Instruct,QA
F,Black,Explicit,Interview,0.57,OLMo-2-0325-32B-Instruct,QA
F,Black,Name,Direct,0.55,OLMo-2-0325-32B-Instruct,QA
F,Black,Name,Third Person,0.51,OLMo-2-0325-32B-Instruct,QA
F,Black,Name,Interview,0.54,OLMo-2-0325-32B-Instruct,QA
M,White,Structured,Direct,0.51,OLMo-2-0325-32B-Instruct,QA
M,White,Structured,Third Person,0.51,OLMo-2-0325-32B-Instruct,QA
M,White,Structured,Interview,0.53,OLMo-2-0325-32B-Instruct,QA
M,White,Explicit,Direct,0.52,OLMo-2-0325-32B-Instruct,QA
M,White,Explicit,Third Person,0.54,OLMo-2-0325-32B-Instruct,QA
M,White,Explicit,Interview,0.52,OLMo-2-0325-32B-Instruct,QA
M,White,Name,Direct,0.58,OLMo-2-0325-32B-Instruct,QA
M,White,Name,Third Person,0.53,OLMo-2-0325-32B-Instruct,QA
M,White,Name,Interview,0.51,OLMo-2-0325-32B-Instruct,QA
M,Asian,Structured,Direct,0.64,OLMo-2-0325-32B-Instruct,QA
M,Asian,Structured,Third Person,0.62,OLMo-2-0325-32B-Instruct,QA
M,Asian,Structured,Interview,0.62,OLMo-2-0325-32B-Instruct,QA
M,Asian,Explicit,Direct,0.68,OLMo-2-0325-32B-Instruct,QA
M,Asian,Explicit,Third Person,0.63,OLMo-2-0325-32B-Instruct,QA
M,Asian,Explicit,Interview,0.61,OLMo-2-0325-32B-Instruct,QA
M,Asian,Name,Direct,0.69,OLMo-2-0325-32B-Instruct,QA
M,Asian,Name,Third Person,0.66,OLMo-2-0325-32B-Instruct,QA
M,Asian,Name,Interview,0.63,OLMo-2-0325-32B-Instruct,QA
M,Hispanic,Structured,Direct,0.48,OLMo-2-0325-32B-Instruct,QA
M,Hispanic,Structured,Third Person,0.47,OLMo-2-0325-32B-Instruct,QA
M,Hispanic,Structured,Interview,0.47,OLMo-2-0325-32B-Instruct,QA
M,Hispanic,Explicit,Direct,0.51,OLMo-2-0325-32B-Instruct,QA
M,Hispanic,Explicit,Third Person,0.48,OLMo-2-0325-32B-Instruct,QA
M,Hispanic,Explicit,Interview,0.49,OLMo-2-0325-32B-Instruct,QA
M,Hispanic,Name,Direct,0.54,OLMo-2-0325-32B-Instruct,QA
M,Hispanic,Name,Third Person,0.48,OLMo-2-0325-32B-Instruct,QA
M,Hispanic,Name,Interview,0.5,OLMo-2-0325-32B-Instruct,QA
M,Black,Structured,Direct,0.55,OLMo-2-0325-32B-Instruct,QA
M,Black,Structured,Third Person,0.54,OLMo-2-0325-32B-Instruct,QA
M,Black,Structured,Interview,0.56,OLMo-2-0325-32B-Instruct,QA
M,Black,Explicit,Direct,0.53,OLMo-2-0325-32B-Instruct,QA
M,Black,Explicit,Third Person,0.48,OLMo-2-0325-32B-Instruct,QA
M,Black,Explicit,Interview,0.57,OLMo-2-0325-32B-Instruct,QA
M,Black,Name,Direct,0.57,OLMo-2-0325-32B-Instruct,QA
M,Black,Name,Third Person,0.47,OLMo-2-0325-32B-Instruct,QA
M,Black,Name,Interview,0.52,OLMo-2-0325-32B-Instruct,QA
F,White,Structured,Direct,0.48,OLMo-2-1124-7B-Instruct,QA
F,White,Structured,Third Person,0.52,OLMo-2-1124-7B-Instruct,QA
F,White,Structured,Interview,0.46,OLMo-2-1124-7B-Instruct,QA
F,White,Explicit,Direct,0.47,OLMo-2-1124-7B-Instruct,QA
F,White,Explicit,Third Person,0.49,OLMo-2-1124-7B-Instruct,QA
F,White,Explicit,Interview,0.46,OLMo-2-1124-7B-Instruct,QA
F,White,Name,Direct,0.45,OLMo-2-1124-7B-Instruct,QA
F,White,Name,Third Person,0.41,OLMo-2-1124-7B-Instruct,QA
F,White,Name,Interview,0.49,OLMo-2-1124-7B-Instruct,QA
F,Asian,Structured,Direct,0.51,OLMo-2-1124-7B-Instruct,QA
F,Asian,Structured,Third Person,0.52,OLMo-2-1124-7B-Instruct,QA
F,Asian,Structured,Interview,0.53,OLMo-2-1124-7B-Instruct,QA
F,Asian,Explicit,Direct,0.5,OLMo-2-1124-7B-Instruct,QA
F,Asian,Explicit,Third Person,0.55,OLMo-2-1124-7B-Instruct,QA
F,Asian,Explicit,Interview,0.51,OLMo-2-1124-7B-Instruct,QA
F,Asian,Name,Direct,0.52,OLMo-2-1124-7B-Instruct,QA
F,Asian,Name,Third Person,0.5,OLMo-2-1124-7B-Instruct,QA
F,Asian,Name,Interview,0.52,OLMo-2-1124-7B-Instruct,QA
F,Hispanic,Structured,Direct,0.47,OLMo-2-1124-7B-Instruct,QA
F,Hispanic,Structured,Third Person,0.46,OLMo-2-1124-7B-Instruct,QA
F,Hispanic,Structured,Interview,0.49,OLMo-2-1124-7B-Instruct,QA
F,Hispanic,Explicit,Direct,0.43,OLMo-2-1124-7B-Instruct,QA
F,Hispanic,Explicit,Third Person,0.43,OLMo-2-1124-7B-Instruct,QA
F,Hispanic,Explicit,Interview,0.46,OLMo-2-1124-7B-Instruct,QA
F,Hispanic,Name,Direct,0.44,OLMo-2-1124-7B-Instruct,QA
F,Hispanic,Name,Third Person,0.44,OLMo-2-1124-7B-Instruct,QA
F,Hispanic,Name,Interview,0.46,OLMo-2-1124-7B-Instruct,QA
F,Black,Structured,Direct,0.51,OLMo-2-1124-7B-Instruct,QA
F,Black,Structured,Third Person,0.46,OLMo-2-1124-7B-Instruct,QA
F,Black,Structured,Interview,0.48,OLMo-2-1124-7B-Instruct,QA
F,Black,Explicit,Direct,0.45,OLMo-2-1124-7B-Instruct,QA
F,Black,Explicit,Third Person,0.42,OLMo-2-1124-7B-Instruct,QA
F,Black,Explicit,Interview,0.47,OLMo-2-1124-7B-Instruct,QA
F,Black,Name,Direct,0.46,OLMo-2-1124-7B-Instruct,QA
F,Black,Name,Third Person,0.41,OLMo-2-1124-7B-Instruct,QA
